Date,Open,High,Low,Close,Adj Close,Volume
11/28/2012,46.669998,47.66,46.380001,47.360001,44.228668,1267500
11/29/2012,47.529999,48.66,47.490002,48.130001,44.947758,1785500
11/30/2012,48.130001,48.82,47.919998,48.580002,45.368011,4687700
12/3/2012,48.790001,49.27,48.59,48.98,45.74157,2407300
12/4/2012,48.810001,49.189999,48.400002,48.970001,45.732227,1858200
12/5/2012,46.09,49.950001,46.09,49.740002,46.451317,2143500
12/6/2012,49.490002,49.740002,49,49.419998,46.152473,1498300
12/7/2012,49.610001,49.66,49.009998,49.360001,46.096443,1826600
12/10/2012,49.200001,49.459999,48.869999,49.119999,45.872314,1126300
12/11/2012,49.490002,49.66,49.119999,49.16,45.909653,1166800
12/12/2012,49.360001,49.650002,49.130001,49.25,45.99371,1117000
12/13/2012,49.32,49.32,48.369999,48.41,45.209251,1027200
12/14/2012,48.330002,48.810001,48,48.169998,44.985119,1096600
12/17/2012,48.389999,49.669998,48.32,49.669998,46.385937,1472900
12/18/2012,49.48,50.84,49.139999,50.790001,47.431889,1908200
12/19/2012,50.759998,51.57,50.549999,51.540001,48.132298,3429500
12/20/2012,51.529999,51.630001,50.880001,51.23,47.842793,3651100
12/21/2012,50.700001,50.700001,50.169998,50.25,46.927589,2717200
12/24/2012,50.279999,50.459999,49.830002,50.189999,46.871559,675400
12/26/2012,50.360001,50.419998,50,50.150002,46.834209,808300
12/27/2012,50.099998,50.16,49.119999,49.860001,46.563381,971900
12/28/2012,49.41,49.959999,49.41,49.470001,46.199158,710600
12/31/2012,49.439999,50.360001,49.439999,50.32,46.992966,1134300
1/2/2013,51.48,52,51.27,51.77,48.347084,2620900
1/3/2013,51.669998,52.48,51.630001,51.98,48.543209,2874200
1/4/2013,52.23,53.029999,51.580002,52.77,49.280972,2902600
1/7/2013,52.419998,52.900002,52.240002,52.529999,49.056843,2069900
1/8/2013,52.52,52.810001,52.25,52.810001,49.318329,3108200
1/9/2013,52.860001,53.290001,52.860001,53.27,49.747917,2674100
1/10/2013,53.549999,53.549999,52.919998,53.080002,49.570477,2456000
1/11/2013,53.040001,53.360001,52.599998,53.279999,49.757252,1227000
1/14/2013,53.360001,53.52,53.09,53.240002,49.719902,1431400
1/15/2013,52.939999,53.5,52.939999,53.439999,49.906685,1569300
1/16/2013,53.169998,53.459999,52.779999,53,49.495766,1331800
1/17/2013,53.380001,53.529999,53.009998,53.450001,49.916019,2097500
1/18/2013,53.5,53.650002,53.259998,53.599998,50.056103,1500300
1/22/2013,53.400002,53.560001,53.060001,53.349998,49.822628,1574000
1/23/2013,53.32,53.669998,53.150002,53.630001,50.08411,1600500
1/24/2013,53.439999,54.48,53.380001,53.959999,50.392292,2068400
1/25/2013,54.009998,54.349998,53.66,54.34,50.747173,1377700
1/28/2013,54.619999,54.619999,53.869999,54.450001,50.849892,1156700
1/29/2013,54.34,55.02,54.09,54.990002,51.354202,2505400
1/30/2013,54.869999,55.080002,54.59,54.919998,51.288818,2216500
1/31/2013,54.799999,55.040001,54.540001,54.82,51.195442,1811800
2/1/2013,55.23,55.580002,55.110001,55.349998,51.690388,2459300
2/4/2013,55.130001,55.389999,48.900002,49.450001,46.180481,11422100
2/5/2013,50.02,50.029999,42.709999,45.09,42.108757,22411200
2/6/2013,46.959999,48.48,45.509998,47.490002,44.350082,11933500
2/7/2013,47.84,47.869999,45.73,46.990002,43.883141,9662100
2/8/2013,45.279999,46.419998,40.669998,43.369999,40.502487,16212600
2/11/2013,43.52,45.889999,43.110001,45.490002,42.482315,7505900
2/12/2013,45.349998,47.150002,45.240002,46.09,43.042641,5442900
2/13/2013,46.799999,47.099998,45.75,46.790001,43.696362,4301900
2/14/2013,46.880001,47.490002,46.5,46.68,43.593628,2915600
2/15/2013,46.16,47,46.16,46.799999,43.893757,2831700
2/19/2013,46.73,48.669998,46.650002,48.57,45.553848,3917200
2/20/2013,47.75,48.259998,47.34,47.369999,44.428364,2976600
